ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-07-04,World Health Organization COVID-19 Dashboard,9,"1,426,106,093",0.0006
COVID-19,Unspecified,CHINA,2020-07-05,World Health Organization COVID-19 Dashboard,19,"1,426,106,093",0.0013
COVID-19,Unspecified,CHINA,2020-07-06,World Health Organization COVID-19 Dashboard,14,"1,426,106,093",0.0010
COVID-19,Unspecified,CHINA,2020-07-07,World Health Organization COVID-19 Dashboard,25,"1,426,106,093",0.0018
COVID-19,Unspecified,CHINA,2020-07-08,World Health Organization COVID-19 Dashboard,21,"1,426,106,093",0.0015
COVID-19,Unspecified,CHINA,2020-07-09,World Health Organization COVID-19 Dashboard,33,"1,426,106,093",0.0023
COVID-19,Unspecified,CHINA,2020-07-10,World Health Organization COVID-19 Dashboard,46,"1,426,106,093",0.0032
COVID-19,Unspecified,CHINA,2020-07-11,World Health Organization COVID-19 Dashboard,42,"1,426,106,093",0.0029
COVID-19,Unspecified,CHINA,2020-07-12,World Health Organization COVID-19 Dashboard,35,"1,426,106,093",0.0025
COVID-19,Unspecified,CHINA,2020-07-13,World Health Organization COVID-19 Dashboard,46,"1,426,106,093",0.0032
COVID-19,Unspecified,CHINA,2020-07-14,World Health Organization COVID-19 Dashboard,55,"1,426,106,093",0.0039
COVID-19,Unspecified,CHINA,2020-07-15,World Health Organization COVID-19 Dashboard,54,"1,426,106,093",0.0038
COVID-19,Unspecified,CHINA,2020-07-16,World Health Organization COVID-19 Dashboard,20,"1,426,106,093",0.0014
COVID-19,Unspecified,CHINA,2020-07-17,World Health Organization COVID-19 Dashboard,78,"1,426,106,093",0.0055
COVID-19,Unspecified,CHINA,2020-07-18,World Health Organization COVID-19 Dashboard,82,"1,426,106,093",0.0057
COVID-19,Unspecified,CHINA,2020-07-19,World Health Organization COVID-19 Dashboard,80,"1,426,106,093",0.0056
COVID-19,Unspecified,CHINA,2020-07-20,World Health Organization COVID-19 Dashboard,131,"1,426,106,093",0.0092
COVID-19,Unspecified,CHINA,2020-07-21,World Health Organization COVID-19 Dashboard,84,"1,426,106,093",0.0059
COVID-19,Unspecified,CHINA,2020-07-22,World Health Organization COVID-19 Dashboard,74,"1,426,106,093",0.0052
COVID-19,Unspecified,CHINA,2020-07-23,World Health Organization COVID-19 Dashboard,135,"1,426,106,093",0.0095
